offset_hex	va	encoding	value
0x8BAB	0x1800097AB	ascii	t$ H
0x8F57	0x180009B57	ascii	L$ SUVWH
0x8F67	0x180009B67	ascii	l$xH
0x8F77	0x180009B77	ascii	l$(L
0x8FA6	0x180009BA6	ascii	8_^][
0x8FB7	0x180009BB7	ascii	L$ H
0x9014	0x180009C14	ascii	\$0H
0x9082	0x180009C82	ascii	\$0H
0x90B1	0x180009CB1	ascii	\$0H
0x90C5	0x180009CC5	ascii	UVWAVAWH
0x90DC	0x180009CDC	ascii	D$@H
0x91BC	0x180009DBC	ascii	L$0H
0x91DA	0x180009DDA	ascii	L$8L
0x91DF	0x180009DDF	ascii	D$ L
0x91F0	0x180009DF0	ascii	T$0I
0x91FA	0x180009DFA	ascii	T$ H
0x91FF	0x180009DFF	ascii	L$ H
0x9204	0x180009E04	ascii	T$0H;
0x9222	0x180009E22	ascii	L$8L
0x9227	0x180009E27	ascii	D$ H
0x922C	0x180009E2C	ascii	T$ I
0x9306	0x180009F06	ascii	L$@H3
0x931C	0x180009F1C	ascii	PA_A^_^]
0x9DD3	0x18000A9D3	ascii	\$0H
0x9DD8	0x18000A9D8	ascii	t$8H
0x9DFB	0x18000A9FB	ascii	UWATAVAWH
0xA04F	0x18000AC4F	ascii	A_A^A\_]
0xA090	0x18000AC90	ascii	@SWAUAVAWH
0xA0D3	0x18000ACD3	ascii	D$(L
0xA133	0x18000AD33	ascii	)l$PD
0xA139	0x18000AD39	ascii	)|$0
0xA1BC	0x18000ADBC	ascii	)d$`
0xA1CB	0x18000ADCB	ascii	)t$@E
0xA1F8	0x18000ADF8	ascii	)\$p
0xA34A	0x18000AF4A	ascii	zhuf
0xA417	0x18000B017	ascii	(t$@D
0xA41D	0x18000B01D	ascii	(d$`D
0xA423	0x18000B023	ascii	(\$pD
0xA45C	0x18000B05C	ascii	l$(H
0xA48B	0x18000B08B	ascii	(|$0D
0xA491	0x18000B091	ascii	(l$P
0xA4E8	0x18000B0E8	ascii	A_A^A]_[
